,,positive,negative
2017-11-03 13:18:00,2017-11-03 13:16:00,0.0100452685,0.0040096543
2017-11-03 13:16:00,2017-11-03 13:14:00,0.0087549603,0.0098338294
2017-11-03 13:14:00,2017-11-03 13:12:00,0,0
2017-11-03 13:12:00,2017-11-03 13:10:00,0.0102256114,0.0063236106
2017-11-03 13:10:00,2017-11-03 13:08:00,0.0055272109,0.007396869
2017-11-03 13:08:00,2017-11-03 13:06:00,0.0165284864,0.0096903345
2017-11-03 13:06:00,2017-11-03 13:04:00,0.0083540837,0.0053012215
2017-11-03 13:04:00,2017-11-03 13:02:00,0.0085160958,0.0037845631
2017-11-03 13:02:00,2017-11-03 13:00:00,0.0101993882,0.0016552219
2017-11-03 13:00:00,2017-11-03 12:58:00,0.0045941549,0.0019173535
2017-11-03 12:58:00,2017-11-03 12:56:00,0.0010416667,0.0021787241
2017-11-03 12:56:00,2017-11-03 12:54:00,0.0099010547,0.0107977579
2017-11-03 12:54:00,2017-11-03 12:52:00,0.0077520461,0.0043174342
2017-11-03 12:52:00,2017-11-03 12:50:00,0.0102954145,0.0033831909
2017-11-03 12:50:00,2017-11-03 12:48:00,0.0044642857,0
2017-11-03 12:48:00,2017-11-03 12:46:00,0.0170855379,0.0028935185
2017-11-03 12:46:00,2017-11-03 12:44:00,0.0117284515,0.0066761902
2017-11-03 12:44:00,2017-11-03 12:42:00,0.0068181818,0
2017-11-03 12:42:00,2017-11-03 12:40:00,0.0041208791,0.0060680584
2017-11-03 12:40:00,2017-11-03 12:38:00,0.0034196128,0.0094160758
2017-11-03 12:38:00,2017-11-03 12:36:00,0.0081649436,0.0037412004
2017-11-03 12:36:00,2017-11-03 12:34:00,0.01290513,0.0027829142
2017-11-03 12:34:00,2017-11-03 12:32:00,0.001984127,0
2017-11-03 12:32:00,2017-11-03 12:30:00,0.0056678922,0.0043391225
2017-11-03 12:30:00,2017-11-03 12:28:00,0.0135918004,0.0024167009
2017-11-03 12:28:00,2017-11-03 12:26:00,0.0099500377,0.0065088757
2017-11-03 12:26:00,2017-11-03 12:24:00,0.00304069,0.0039160401
2017-11-03 12:24:00,2017-11-03 12:22:00,0,0
2017-11-03 12:22:00,2017-11-03 12:20:00,0.0130208333,0
2017-11-03 12:20:00,2017-11-03 12:18:00,0.012037037,0
2017-11-03 12:18:00,2017-11-03 12:16:00,0.0187186717,0.005041936
2017-11-03 12:16:00,2017-11-03 12:14:00,0.0051700526,0.0059896429
2017-11-03 12:14:00,2017-11-03 12:12:00,0.0077020202,0.0009469697
2017-11-03 12:12:00,2017-11-03 12:10:00,0.0081905839,0.0030002892
2017-11-03 12:10:00,2017-11-03 12:08:00,0.0128734059,0.0065186362
2017-11-03 12:08:00,2017-11-03 12:06:00,0.0077160494,0.0026193957
2017-11-03 12:06:00,2017-11-03 12:04:00,0.0051878227,0.0003676471
2017-11-03 12:04:00,2017-11-03 12:02:00,0.0099587912,0.0041933702
2017-11-03 12:02:00,2017-11-03 12:00:00,0.0172623537,0.0029327109
2017-11-03 12:00:00,2017-11-03 11:58:00,0.0207286761,0.0009398496
2017-11-03 11:58:00,2017-11-03 11:56:00,0.0135975136,0.0041002127
2017-11-03 11:56:00,2017-11-03 11:54:00,0.0144980507,0.0083905416
2017-11-03 11:54:00,2017-11-03 11:52:00,0.0068277311,0.0088438007
2017-11-03 11:52:00,2017-11-03 11:50:00,0.0097770899,0.0051822803
2017-11-03 11:50:00,2017-11-03 11:48:00,0.0343961594,0.0032051282
2017-11-03 11:48:00,2017-11-03 11:46:00,0.0073398418,0
2017-11-03 11:46:00,2017-11-03 11:44:00,0.0099761889,0.0064856967
2017-11-03 11:44:00,2017-11-03 11:42:00,0.0078947368,0
2017-11-03 11:42:00,2017-11-03 11:40:00,0.007717803,0.0055666964
2017-11-03 11:40:00,2017-11-03 11:38:00,0.0115855763,0.0068072025
2017-11-03 11:38:00,2017-11-03 11:36:00,0.0135309866,0.0060961227
2017-11-03 11:36:00,2017-11-03 11:34:00,0.0164230275,0.0008680556
2017-11-03 11:34:00,2017-11-03 11:32:00,0.0236241087,0.0041666667
2017-11-03 11:32:00,2017-11-03 11:30:00,0.0071428571,0
2017-11-03 11:30:00,2017-11-03 11:28:00,0.0138888889,0.0125
2017-11-03 11:28:00,2017-11-03 11:26:00,0.0088541667,0.0009765625
2017-11-03 11:26:00,2017-11-03 11:24:00,0.0138480392,0.0010463801
2017-11-03 11:24:00,2017-11-03 11:22:00,0.0189621857,0.0023738662
2017-11-03 11:22:00,2017-11-03 11:20:00,0.0263200127,0.0017361111
2017-11-03 11:20:00,2017-11-03 11:18:00,0.0168205333,0.0008741259
2017-11-03 11:18:00,2017-11-03 11:16:00,0.0080523575,0.0064140287
2017-11-03 11:16:00,2017-11-03 11:14:00,0.0030542986,0.0070443537
2017-11-03 11:14:00,2017-11-03 11:12:00,0.00546875,0.0008223684
2017-11-03 11:12:00,2017-11-03 11:10:00,0.0094053006,0.0024420024
2017-11-03 11:10:00,2017-11-03 11:08:00,0.0053733032,0.0011363636
2017-11-03 11:08:00,2017-11-03 11:06:00,0.0103276658,0.0063226247
2017-11-03 11:06:00,2017-11-03 11:04:00,0.005787037,0.0015432099
2017-11-03 11:04:00,2017-11-03 11:02:00,0.0173202614,0.0026830808
2017-11-03 11:02:00,2017-11-03 11:00:00,0.0085530369,0.0013276144
2017-11-03 11:00:00,2017-11-03 10:58:00,0.0034831654,0.0026489628
2017-11-03 10:58:00,2017-11-03 10:56:00,0.0084201389,0.0020102339
2017-11-03 10:56:00,2017-11-03 10:54:00,0.0057096663,0.0002631579
2017-11-03 10:54:00,2017-11-03 10:52:00,0.002582846,0.0034858388
2017-11-03 10:52:00,2017-11-03 10:50:00,0.0151842949,0.0016339869
2017-11-03 10:50:00,2017-11-03 10:48:00,0.0136446886,0.0006613757
2017-11-03 10:48:00,2017-11-03 10:46:00,0,0
2017-11-03 10:46:00,2017-11-03 10:44:00,0.0201909855,0.0025
2017-11-03 10:44:00,2017-11-03 10:42:00,0.0149862577,0.0037593985
2017-11-03 10:42:00,2017-11-03 10:40:00,0.0097222222,0.0009259259
2017-11-03 10:40:00,2017-11-03 10:38:00,0.0068681319,0.0017006803
2017-11-03 10:38:00,2017-11-03 10:36:00,0.000625,0.0014015152
2017-11-03 10:36:00,2017-11-03 10:34:00,0.001984127,0
2017-11-03 10:34:00,2017-11-03 10:32:00,0.0028280543,0.0048076923
2017-11-03 10:32:00,2017-11-03 10:30:00,0.0076412509,0.0058390023
2017-11-03 10:30:00,2017-11-03 10:28:00,0.0121017157,0.0016741071
2017-11-03 10:28:00,2017-11-03 10:26:00,0.003125,0.0099888393
2017-11-03 10:26:00,2017-11-03 10:24:00,0.0067894345,0.0018382353
2017-11-03 10:24:00,2017-11-03 10:22:00,0.010204598,0.0015182186
2017-11-03 10:22:00,2017-11-03 10:20:00,0.0067783524,0.000534188
2017-11-03 10:20:00,2017-11-03 10:18:00,0.0031372549,0
2017-11-03 10:18:00,2017-11-03 10:16:00,0.0025217577,0.0029076598
2017-11-03 10:16:00,2017-11-03 10:14:00,0.0017942584,0.0071570973
2017-11-03 10:14:00,2017-11-03 10:12:00,0.0128205128,0
2017-11-03 10:12:00,2017-11-03 10:10:00,0.0039930556,0.0013888889
2017-11-03 10:10:00,2017-11-03 10:08:00,0.0098684211,0.0032894737
2017-11-03 10:08:00,2017-11-03 10:06:00,0.0334161932,0.0088720262
2017-11-03 10:06:00,2017-11-03 10:04:00,0.0183644481,0.0145475358
2017-11-03 10:04:00,2017-11-03 10:02:00,0.0072150072,0.0098274887
2017-11-03 10:02:00,2017-11-03 10:00:00,0.0079759683,0.0060764437
2017-11-03 10:00:00,2017-11-03 09:58:00,0.008531746,0.0013888889
2017-11-03 09:58:00,2017-11-03 09:56:00,0.0178007756,0.0033749146
2017-11-03 09:56:00,2017-11-03 09:54:00,0.0211770399,0.0018716578
2017-11-03 09:54:00,2017-11-03 09:52:00,0.0142439668,0.0070949432
2017-11-03 09:52:00,2017-11-03 09:50:00,0.0059837505,0.0027667984
2017-11-03 09:50:00,2017-11-03 09:48:00,0.0051973684,0.0078289474
2017-11-03 09:48:00,2017-11-03 09:46:00,0.0181424996,0.0100839706
2017-11-03 09:46:00,2017-11-03 09:44:00,0.0074557387,0
2017-11-03 09:44:00,2017-11-03 09:42:00,0.0113648091,0.0013157895
2017-11-03 09:42:00,2017-11-03 09:40:00,0.014254386,0.0109649123
2017-11-03 09:40:00,2017-11-03 09:38:00,0.0192226891,0.0017871732
2017-11-03 09:38:00,2017-11-03 09:36:00,0.0074842437,0.0017857143
2017-11-03 09:36:00,2017-11-03 09:34:00,0.0124389499,0.0106684982
2017-11-03 09:34:00,2017-11-03 09:32:00,0.0245109828,0.0012626263
2017-11-03 09:32:00,2017-11-03 09:30:00,0.0115759561,0.0051149248
